2021-04-05:14:22:35,497 INFO     [utils.py:12] Environment Initilized
2021-04-05:14:22:35,531 INFO     [utils.py:12] ('2016-04-01', 'Open')
2021-04-05:14:22:35,534 INFO     [utils.py:12] ('action', array([6]))
2021-04-05:14:22:35,535 INFO     [utils.py:12] ('2016-04-01', 'Close')
2021-04-05:14:22:35,535 INFO     [utils.py:12] ('action', array([4]))
2021-04-05:14:22:35,535 INFO     [utils.py:12] ('2016-04-04', 'Open')
2021-04-05:14:22:35,535 INFO     [utils.py:12] ('action', array([10]))
2021-04-05:14:22:35,535 INFO     [utils.py:12] ('2016-04-04', 'Close')
2021-04-05:14:22:35,536 INFO     [utils.py:12] ('action', array([-5]))
2021-04-05:14:22:35,536 INFO     [utils.py:12] ('2016-04-05', 'Open')
2021-04-05:14:22:35,536 INFO     [utils.py:12] ('action', array([10]))
2021-04-05:14:22:35,536 INFO     [utils.py:12] ('2016-04-05', 'Close')
2021-04-05:14:22:35,536 INFO     [utils.py:12] ('action', array([6]))
2021-04-05:14:22:35,536 INFO     [utils.py:12] ('2016-04-06', 'Open')
2021-04-05:14:22:35,537 INFO     [utils.py:12] ('action', array([4]))
2021-04-05:14:22:35,537 INFO     [utils.py:12] ('2016-04-06', 'Close')
2021-04-05:14:22:35,537 INFO     [utils.py:12] ('action', array([-8]))
2021-04-05:14:22:35,537 INFO     [utils.py:12] ('2016-04-07', 'Open')
2021-04-05:14:22:35,537 INFO     [utils.py:12] ('action', array([-4]))
2021-04-05:14:22:35,537 INFO     [utils.py:12] ('2016-04-07', 'Close')
2021-04-05:14:22:35,538 INFO     [utils.py:12] ('action', array([-9]))
2021-04-05:14:22:35,538 INFO     [utils.py:12] ('2016-04-08', 'Open')
2021-04-05:14:22:35,538 INFO     [utils.py:12] ('action', array([-8]))
2021-04-05:14:22:35,538 INFO     [utils.py:12] ('2016-04-08', 'Close')
2021-04-05:14:22:35,538 INFO     [utils.py:12] ('action', array([8]))
2021-04-05:14:22:35,539 INFO     [utils.py:12] ('2016-04-11', 'Open')
2021-04-05:14:22:35,539 INFO     [utils.py:12] ('action', array([8]))
2021-04-05:14:22:35,539 INFO     [utils.py:12] ('2016-04-11', 'Close')
2021-04-05:14:22:35,539 INFO     [utils.py:12] ('action', array([6]))
2021-04-05:14:22:35,539 INFO     [utils.py:12] ('2016-04-12', 'Open')
2021-04-05:14:22:35,539 INFO     [utils.py:12] ('action', array([-9]))
2021-04-05:14:22:35,540 INFO     [utils.py:12] ('2016-04-12', 'Close')
